Id;Ekspor;Cadangan Devisa;IHSG;Selisih Pinjaman dan Simpanan;Suku Bunga Simpanan Riil;Selisih BI Rate Riil dan FED Rate Riil;Simpanan bank ;Nilai Tukar Riil;Nilai Tukar Perdagangan;M1;M2/Cadangan Devisa;M2M;Krisis
0;1845.2;6068.2;504.27;1.24;15.56;4.36;14.56732892;376.63;1.2366;10.66;0.0055;6.46;1
1;2055;6259.1;612.2;1.24;16.63;5.83;16.70762479;375.39;1.2129;12.15;0.0056;6.16;1
4;1750;5767.5;624.33;1.22;14.77;7.92;16.06778742;388.69;1.0374;12.58;0.0066;6.77;0
5;1812;6392.7;614.41;1.19;14.29;7.91;16.2747431;396.82;1.0315;12.23;0.006;7.04;0
6;2124;6615.6;556.34;1.18;16.66;9.74;16.91334769;397.52;1.04;12.08;0.006;6.76;0
9;2681.2;7467.6;383.2;1.11;20.02;10.78;17.69002123;403.87;1.125;12.2;0.0057;7.18;0
10;2650.5;8661.3;417.79;1.11;20.93;11.76;21.00420831;407.74;1.0922;12.53;0.0051;7.05;0
12;2361;8646.7;391.33;1.13;21.76;12.82;17.2515625;413.17;1.1257;13.68;0.0051;7.01;0
14;2667;9840.7;413.71;1.07;23.39;13.01;15.61165549;424.03;1.2147;12.07;0.0044;7.47;0
15;2378;9782.3;397.6;1.05;25.47;13.37;16.201849;425.3;1.0592;12.07;0.0045;7.8;0
16;2433;9754;346.27;1.08;24.56;13.08;16.73797339;427.46;1.094;12.59;0.0046;7.7;0
17;2538;9623.9;339.96;1;22.54;11.23;17.23379275;436.06;1.1658;12.1;0.0047;8.26;0
18;2414;9467.2;300.98;1.06;21.67;11.42;17.71603053;444.37;1.1793;12.54;0.0049;8.3;0
19;2441;9292.8;249.19;1.09;22.49;13.57;18.04827236;443.65;1.2563;13.11;0.0051;8.17;0
20;2544;9347.6;226.68;1.13;21.11;12.87;18.33940314;448.49;1.1272;12.73;0.0052;8.32;0
21;2409;10010.1;241.32;1.14;20.76;12.96;18.497733;453.77;1.1638;13.01;0.0049;8.36;0
