Id;Ekspor;Cadangan Devisa;IHSG;Selisih Pinjaman dan Simpanan;Suku Bunga Simpanan Riil;Selisih BI Rate Riil dan FED Rate Riil;Simpanan bank ;Nilai Tukar Riil;Nilai Tukar Perdagangan;M1;M2/Cadangan Devisa;M2M
2;1803;5914.1;638.79;1.26;14.73;3.92;15.65500273;380.27;1.6888;12.27;0.0062;5.78
3;1802;5259.7;636.4;1.23;15.13;4.32;15.32189542;384.14;1.0033;11.56;0.0071;6.92
7;2603;6514.5;468.51;1.15;17.85;9.96;17.30901288;397.46;1.1523;12.33;0.0063;7.02
8;2639;6826.8;416.49;1.12;18.42;10.05;17.44925214;400.9;1.4283;12.05;0.0061;7.14
11;2554;8539.8;383.02;1.17;20.61;12.36;18.3917364;410.74;1.3151;12.04;0.0052;7.84
13;2115;9560.8;408.11;1.1;24.18;17.67;17.30020704;415.25;0.9588;12.2;0.0044;7.37
31;2851;11582.3;298.39;1.28;18.3;11.76;21.21589794;471.87;1.2009;13.56;0.0048;8.51
34;3351;11610.9;274.34;1.32;16.05;9.76;28.96605238;481.75;1.2032;13.96;0.005;8.08
44;3218.4;12207.2;466.15;1.48;12.45;6.49;49.84140551;523.01;1.3238;16.91;0.0054;8.42
48;2799.6;12728.5;546.23;1.57;9.89;3.53;53.22367805;548.22;1.2465;18.74;0.0056;8.11
61;3485;13324;428.64;1.16;15.34;7.88;60.81252817;604.97;1.1578;20.24;0.0061;7.84
62;3414;13399.3;416.45;1.14;14.7;6.98;60.88549618;615.37;1.1161;20.05;0.0061;8.08
64;3834;13927;492.27;1.11;16.93;8.78;64.48530721;622.23;0.9672;20.95;0.0061;8.33
66;3953;14251;500.74;1.09;17.29;8.25;69.00838482;632.56;1.0384;21.35;0.0063;8.64
67;3940;14319;493.24;1.09;17.23;8.1;69.86021978;636.24;1.0242;21.53;0.0063;8.75
69;4080;14660;481.73;1.12;16.84;7.76;72.29137631;647.26;1.2103;21.95;0.0064;8.9
71;3601;14866;578.55;1.12;14.11;6.24;74.05884898;673.42;1.131;22.58;0.0065;8.94
79;4331;16554;573.3;1.11;17.07;8.85;86.2525641;678.42;1.1882;25.51;0.0067;8.29
80;4472;16717;568.02;1.12;16.77;8.59;88.8422619;682.52;1.2701;25.34;0.0068;8.39
81;4456;17953;613.01;1.12;16.77;7.93;90.95143581;688.66;1.2202;25.42;0.0065;8.59
85;4451;19983;662.23;1.15;16.44;5.79;94.35014469;717.14;0.9472;26.28;0.0061;8.33
94;4879;17396;401.71;1.06;22.2;12.66;53.08301075;1471.67;1.3042;16.85;0.0044;7.72
99;4239;18991;420.46;1.01;27.71;47.44;31.83344418;4622.48;1.6304;9.88;0.0025;7.27
101;4333;19418;481.71;0.79;34.45;56.87;27.73961538;6469.64;1.3622;8.14;0.0022;7.67
104;3785;21636;300.77;0.65;54.94;55.23;52.45748344;4112.69;1.2373;13.19;0.0033;7.54
109;4413;25942;393.62;0.95;35.03;33.57;50.9472654;4964.43;1.5789;12.17;0.0027;7.66
111;4169;26146;585.24;0.98;31.48;24.26;57.93510179;4558.27;1.4511;12.75;0.003;8.23
124;5758.76;27531;515.11;1.55;11.19;5.26;59.56599886;4816.4;1.3633;15.32;0.0028;7.24
128;5906.55;28736;405.34;1.37;11.93;6.25;57.76178819;5282.79;1.4731;14.78;0.0026;7.25
132;4796.81;29091;428.3;1.24;13.49;8.83;58.73980681;5721.55;1.6123;15.24;0.0026;8.13
145;4697.32;28003.5;481.86;1.14;16.71;15.26;62.42112895;6356.5;1.7055;17.21;0.0031;7.97
146;4985.57;28151.2;544.85;1.16;16.77;15.62;65.3883641;6084.77;1.5273;18.14;0.0032;8.05
148;4936.9;29278.7;505.01;1.2;15.55;13.12;70.95555556;5765.09;1.671;19.93;0.0033;7.81
151;5342.58;30040.8;412.43;1.31;13.76;11.04;70.22151969;6014.43;1.5015;20.17;0.0032;7.79
155;5437.72;32181.9;388.44;1.35;12.53;10.92;72.93397927;6163.06;1.4823;20.29;0.0031;7.7
156;5318.91;32217.81;399.22;1.39;12.96;11.57;73.78034812;6146.98;1.3101;20.39;0.0031;7.86
166;5146;36295.71;679.3;2.11;6.31;6.37;84.25859421;6040.04;1.3883;26.44;0.0031;6.45
167;5366.22;35975.39;752.93;2.24;6.04;6.71;84.00556806;6027.48;1.2813;24.77;0.0031;6.42
175;6555.23;34802.19;819.82;2.09;6.61;5.85;81.50665213;6591.23;1.2722;25.59;0.0031;5.64
186;7227.15;31180.29;1050.09;1.74;7.16;5.21;81.31269531;7708.54;1.0166;26.26;0.0035;5.74
187;7477.26;30318.31;1079.27;1.71;7.82;6.78;82.23840931;7720.32;1.1559;25.97;0.0037;5.14
193;7716.01;40081.58;1322.97;1.34;12.16;8.52;99.49366391;7590.44;1.1676;29.8;0.0033;5.13
195;8440.11;44293.72;1330;1.37;11.45;7.63;102.1072668;7640.91;1.2603;32.12;0.003;5.19
196;8855.03;40107.11;1310.26;1.38;11.25;7;102.4913978;7726.71;1.2313;32.67;0.0034;5.08
197;9111.59;41125.79;1351.65;1.39;11.12;6.85;104.5771775;7547.15;1.2857;33.42;0.0034;4.99
198;9179.84;41995.41;1444.49;1.42;11.01;6.37;106.6517582;7581.39;1.3487;35.06;0.0033;5.1
201;8796.08;41578.59;1718.96;1.5;9.91;4.51;112.5824332;7849.47;1.0735;36.26;0.0035;5.07
205;9455.05;47221.16;1830.92;1.7;8.28;4.42;116.6840316;7912.44;1.2594;36.38;0.0032;5.07
207;9978.23;50112.83;2084.32;1.74;7.96;4.01;119.5688032;7560.85;1.2222;38.95;0.0032;5
217;12047.37;58987.3;2447.3;1.77;6.31;5.67;130.0652056;8238.31;1.1884;44.46;0.0029;4.91
219;13053.9;57464.33;2444.35;1.76;5.93;5.68;131.9431208;8333.3;1.1575;45.75;0.0031;4.92
